Abteilung,Abt 
Academy,Acad 
Accident,Accid 
Acquired Immunodeficiency Syndrome,AIDS 
Administration,Adm 
Advanced,Adv 
Aerospace,Aerosp 
Agency,Agcy 
Agriculture,Agr 
Air Force,AF 
Air Force Base,AFB 
Akademy,Akad 
American,Amer 
Analysis,Anal 
Angewandte,Angew 
Animal,Anim 
Anthropology,Anthropol 
Apparatus,Apparat 
Applied,Appl 
Archive,Arch 
Arthritis,Arthrit 
Association,Assoc 
Avenue,Ave 
Behavior,Behav
Bibliography,Bibliog 
Biochemistry,Biochem 
Biology,Biol 
Botany,Bot 
Boulevard,Blvd 
Brothers,Bros 
Building,Bldg 
Bureau,Bur 
Cancer,Canc 
Center,Ctr 
Central,Cent 
Chemistry,Chem 
Chimie,Chim 
Chirurgie,Chirurg 
Cientificas,Cient 
Clinic,Clin 
College,Coll 
Comite,Com 
Committee,Comm 
Communication,Commun 
Company,Co 
Comparative,Comparat 
Compounds,Cpds 
Computer,Comp 
Conference,Conf 
Corporation,Corp 
County,Cty 
Defense,Def 
Dental,Dent 
Department,Dept 
Deutsch,Deutsch 
Development,Dev 
Diabetes,Diabet 
Diagnosis,Diag 
Disease,Dis 
District,Dist 
Division,Div 
Drive,Dr 
East,E 
Economy,Econ 
Education,Educ 
Egyetem,Egyet 
Epidemiological,Epidemiol
Electronic,Elect 
Electroencephalographic,Eeg 
Elektronik,Elekt 
Engineering,Engn 
Engineering,Eng
Environment,Environm 
Establishment,Estab 
Étude,Etud 
Experimental,Expt 
Faculty,Fac
Fakulty,Fak 
Federal,Fed 
Forschung,Forsch 
Fort,Ft 
Foundation,Fdn 
Fysica,Fys 
General,Gen 
Geology,Geol
Gesellschaft,Gesell 
Government,Govt 
Graduate,Grad 
Group,Grp 
Health,Hlth 
Heights,Hts 
History,Hist 
Hochschule,Hsch 
Hogeskole,Hgsk 
Hopital,Hop 
Horticulture,Hort 
Hospital,Hosp 
Husbandry,Husb 
Hygiene,Hyg 
Incorporated,Inc 
Industry,Ind 
Infectious,Infect 
Infirmary,Infirm 
Institute,Inst 
Istituto,Ist 
International,Int 
Introduction,Intro 
Investigation,Invest 
Island,Isl 
Junior,Jr 
Kemiai,Kem 
Klinik,Klin 
Konferenz,Konf 
Laboratories,Labs 
Laboratory,Lab 
Lecture,Lect 
Library,Lib 
Limited,Ltd 
Maladies,Malad 
Manufacturing,Mfg 
Marketing,Mkt 
Material,Mat 
Mathematics,Math 
Mechanical,Mech 
Medicine,Med 
Memorial,Mem 
Metabolic,Metab 
Metal,Met 
Military,Mil 
Mining,Min 
Ministry,Minist 
Molecular,Mol 
Mount,Mt 
National,Natl 
Natural,Nat 
Navigation,Nav 
Nazionale,Nazl 
North,N 
Northeast,Ne 
Northern,No 
Northwest,Nw 
Nuclear,Nucl 
Nuklear,Nukl 
Nutrition,Nutr 
Observatory,Observ 
Obstetrics,Obstet 
Office,Off 
Organization,Org 
Ospedale,Osped 
Paediatrics,Paediat 
Park,Pk 
Parkway,Pkwy 
Pediatrics,Pediat 
Petroleum,Petr 
Pharmaceutical,Pharmaceut 
Pharmacology,Pharmacol 
Pharmacy,Pharm 
Physiology,Physiol 
Physics,Phys
Place,Pl 
Post Office,Po 
Post Office Box,Pob 
Process,Proc 
Products,Prod 
Professor,Prof 
Propulsion,Prop 
Protein,Prot 
Province,Prov 
Psychiatry,Psychiat 
Psychology,Psychol 
Pulmonary,Pulm
Public,Publ 
Radiation,Radiat 
Recherche,Rech 
Regional,Reg
Rehabilitation,Rehabil 
Reproduction,Reprod 
Research,Res 
Respiratory,Resp 
Ricerca,Ric 
Road,Rd 
Saint,St 
Sanatorium,Sanat 
Sanitary,Sanit 
School,Sch 
Science,Sci 
Semiconductor,Semicond 
Service,Serv 
Society,Soc 
South,S 
Southeast,Se 
Southern,So 
Southwest,Sw 
Spectroscopy,Spect 
Square,Sq 
Standard,Stand 
Station,Stn 
Statistics,Stat 
Strasse,Str 
Street,St 
Structure,Struct 
Substance,Subst 
Superior,Super 
Surgery,Surg 
Synthesis,Synth 
System,Syst 
Technical,Tech 
Technical High School,TH 
Telephone,Tel 
Temperature,Temp 
Territory,Terr 
Textile,Text 
Transactions,Transact 
Tuberculosis,Tb 
Tudomanyos,Tud 
United States,US 
University,Univ 
Vascular,Vasc 
Veterans Administration,Vet Adm 
Veterinary,Vet 
Weapons,Weap 
Welfare,Welf 
West,W 
Wissenschaft,Wissensch 
Zentral,Zent 
Technology,Technol
Anatomy,Anat
Nephrology,Nephrol
Aquatics,Aquat
Cytogenetics,Cytogenet
Biomedical,Biomed
Astronomy,Astron
Ecology,Ecol
Biodiversity,Biodivers
Immunology,Immunol
Biosciences,Biosci
Neurobiology,Neurobiol
Ceramics,Ceram
Paleontology,Paleontol
Geochronology,Geochronol
Critical,Crit
Evolution,Evolut
Neurology,Neurol
Neurosurgery,Neurosurg
Endocrinology,Endocrinol
Pathology,Pathol
Cardiovascular,Cardiovasc
California,Calif
Academy,Acad
